Year,Name,Team,CMP,ATT,YD,TD,INT,Y/C,Y/G,FP
2024,Joe Burrow,CIN,460,652.0,4918,43,9,289.3,108.5,350.72
2024,Jared Goff,DET,390,539.0,4629,37,12,272.3,111.8,309.15999999999997
2024,Baker Mayfield,TAM,407,570.0,4500,41,16,264.7,106.8,312.0
2024,Geno Smith,SEA,407,578.0,4320,21,15,254.1,93.2,226.8
2024,Sam Darnold,MIN,361,545.0,4319,35,12,254.1,102.5,288.76
2024,Lamar Jackson,BAL,316,474.0,4172,41,4,245.4,119.6,322.88
2024,Patrick Mahomes,KAN,392,581.0,3928,26,11,245.5,93.5,239.12
2024,Aaron Rodgers,NYJ,368,584.0,3897,28,11,229.2,90.5,245.88
2024,Justin Herbert,LAC,332,504.0,3870,23,3,227.6,101.7,240.8
2024,Brock Purdy,SFO,300,455.0,3864,20,12,257.6,96.1,210.56
2024,Kyler Murray,ARI,372,541.0,3851,21,11,226.5,93.5,216.04
2024,Bo Nix,DEN,376,567.0,3775,29,12,222.1,93.3,243.0
2024,Matthew Stafford,LAR,340,517.0,3762,20,8,235.1,93.7,214.48
2024,Josh Allen,BUF,307,483.0,3731,28,6,219.5,101.4,249.24
2024,C.J. Stroud,HOU,336,532.0,3727,20,12,219.2,87.0,205.08
2024,Jayden Daniels,WAS,331,480.0,3568,25,9,209.9,100.1,224.72
2024,Caleb Williams,CHI,351,562.0,3541,20,6,208.3,87.8,209.64
2024,Kirk Cousins,ATL,303,453.0,3508,18,16,250.6,88.6,180.32
2024,Jordan Love,GNB,268,425.0,3389,25,11,225.9,96.7,213.56
2024,Jalen Hurts,PHI,248,361.0,2903,18,5,193.5,103.7,178.12
2024,Tua Tagovailoa,MIA,291,399.0,2867,19,7,260.6,101.4,176.68
2024,Russell Wilson,PIT,214,336.0,2482,16,5,225.6,95.6,153.28
2024,Bryce Young,CAR,234,384.0,2403,15,9,171.6,82.2,138.12
2024,Drake Maye,NWE,225,338.0,2276,15,10,175.1,88.1,131.04000000000002
2024,Derek Carr,NOR,189,279.0,2145,15,5,214.5,101.0,135.8
2024,Jameis Winston,CLE,181,296.0,2121,13,12,176.8,80.6,112.84
2024,Will Levis,TEN,190,301.0,2091,13,12,174.3,81.4,111.63999999999999
2024,Daniel Jones,NYG,216,341.0,2070,8,7,207.0,79.4,100.8
2024,Trevor Lawrence,JAX,172,284.0,2045,11,7,204.5,85.2,111.8
2024,Gardner Minshew II,LVR,203,306.0,2013,9,10,201.3,81.0,96.52
2024,Dak Prescott,DAL,185,286.0,1978,11,8,247.3,86.0,107.12
2024,Cooper Rush,DAL,187,308.0,1844,12,5,153.7,83.8,111.76
2024,Anthony Richardson,IND,126,264.0,1814,8,12,164.9,61.6,80.56
2024,Joe Flacco,IND,162,248.0,1761,12,7,220.1,90.5,104.44
2024,Mac Jones,JAX,171,262.0,1672,8,8,167.2,80.5,82.88
2024,Aidan O'Connell,LVR,154,243.0,1612,8,4,179.1,86.7,88.48
2024,Mason Rudolph,TEN,146,228.0,1530,9,9,191.3,80.1,79.2
2024,Spencer Rattler,NOR,130,228.0,1317,4,5,188.1,70.4,58.68000000000001
2024,Deshaun Watson,CLE,137,216.0,1148,5,3,164.0,79.0,59.92
2024,Justin Fields,PIT,106,161.0,1106,5,1,110.6,93.3,62.24000000000001
2024,Drew Lock,NYG,107,181.0,1071,6,5,133.9,75.5,56.84
2024,Andy Dalton,CAR,106,160.0,989,7,6,164.8,82.0,55.56
2024,Tyler Huntley,MIA,86,133.0,829,3,3,165.8,80.1,39.16
2024,Jacoby Brissett,NWE,95,161.0,826,2,1,103.3,74.2,39.04
2024,Michael Penix,ATL,61,105.0,775,3,3,155.0,78.9,37.0
2024,Malik Willis,GNB,40,54.0,550,3,0,78.6,124.8,34.0
2024,Desmond Ridder,LVR,52,85.0,458,2,2,76.3,73.6,22.32
2024,Dorian Thompson-Robinson,CLE,61,118.0,440,0,6,62.9,39.5,5.600000000000001
2024,Marcus Mariota,WAS,34,44.0,364,4,0,121.3,131.2,30.560000000000002
2024,Joshua Dobbs,SFO,32,47.0,361,2,2,180.5,87.3,18.439999999999998
2024,Jimmy Garoppolo,LAR,27,41.0,334,2,1,334.0,97.0,19.36
2024,Tanner McKee,PHI,30,45.0,323,4,0,161.5,117.2,28.92
2024,Kenny Pickett,PHI,25,42.0,291,2,1,58.2,86.5,17.64
2024,Tim Boyle,2TM,27,50.0,276,1,1,92.0,68.4,13.04
2024,Tim Boyle,MIA,15,26.0,153,0,0,76.5,74.7,6.12
2024,Tim Boyle,NYG,12,24.0,123,1,1,123.0,61.6,6.92
2024,Trey Lance,DAL,25,41.0,266,0,1,66.5,69.8,8.64
2024,Tommy DeVito,NYG,31,44.0,257,0,0,85.7,85.1,10.28
2024,Joe Milton,NWE,22,29.0,241,1,0,241.0,111.4,13.64
2024,Jake Haener,NOR,18,39.0,226,1,1,28.3,62.6,11.04
2024,Davis Mills,HOU,20,36.0,212,0,0,53.0,72.9,8.48
2024,Brandon Allen,SFO,17,30.0,199,1,2,66.3,60.3,7.960000000000001
2024,Skylar Thompson,MIA,21,33.0,187,0,0,62.3,78.7,7.48
2024,Mitchell Trubisky,BUF,19,26.0,179,2,0,19.9,117.3,15.16
2024,Bailey Zappe,CLE,16,31.0,170,1,2,170.0,51.8,6.800000000000001
2024,Tyrod Taylor,NYJ,17,22.0,119,3,0,59.5,128.6,16.759999999999998
2024,Carson Wentz,KAN,12,19.0,118,0,0,39.3,80.6,4.72
2024,Hendon Hooker,DET,6,9.0,62,0,0,20.7,86.3,2.48
2024,Nick Mullens,MIN,2,2.0,38,0,0,9.5,118.7,1.52
2024,Taylor Heinicke,LAC,3,5.0,28,0,0,7.0,75.4,1.12
2024,Mike White,BUF,3,11.0,28,0,0,28.0,39.6,1.12
2024,Sam Howell,SEA,5,14.0,24,0,1,12.0,14.6,-1.04
2024,Kyle Allen,PIT,1,1.0,19,0,0,19.0,118.7,0.76
